五星级,1010000,,档次标签,五星级,10605
四星级,1010001,,档次标签,四星级,10604
三星级,1010002,,档次标签,"""三星级 """,10603
经济连锁,1010003,,酒店,经济连锁,1010004
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
茶餐厅,3000058,,餐厅饭店,茶餐厅,3010034
潮粤菜,3000057,,餐厅饭店,潮粤菜,3010033
川菜,3000000,,餐厅饭店,川菜,3010001
串串香,3000062,,餐厅饭店,串串香,3010038
东北菜,3000010,,餐厅饭店,东北菜,3010010
东南亚菜,3000030,,餐厅饭店,东南亚菜,3010023
鄂菜,3000009,,餐厅饭店,鄂菜,3010008
广西菜,3000024,,餐厅饭店,广西菜,3010020
韩国菜,3000026,,餐厅饭店,韩国菜,3010022
淮扬菜,3000022,,餐厅饭店,淮扬菜,3010018
徽菜,3000006,,餐厅饭店,徽菜,3010005
火锅,3000056,,餐厅饭店,火锅,3010032
冀菜,3000016,,餐厅饭店,冀菜,3010013
京菜,3000008,,餐厅饭店,京菜,3010007
客家菜,3000018,,餐厅饭店,客家菜,3010015
鲁菜,3000002,,餐厅饭店,鲁菜,3010003
面馆,3000054,,餐厅饭店,面馆,3010031
日本菜,3000025,,餐厅饭店,日本菜,3010021    6/37
素食,3000053,,餐厅饭店,素食,3010030
台湾菜,3000012,,餐厅饭店,台湾菜,3010012
天津菜,3000017,,餐厅饭店,天津菜,3010014
西北菜,3000011,,餐厅饭店,西北菜,3010011
西藏菜,3000060,,餐厅饭店,西藏菜,3010036
下午茶,3000059,,餐厅饭店,下午茶,3010035
湘菜,3000007,,餐厅饭店,湘菜,3010006
新疆菜,3000019,,餐厅饭店,新疆菜,3010016
印度菜,3000032,,餐厅饭店,印度菜,3010024
粤菜,3000001,,餐厅饭店,粤菜,3010002
云贵菜,3000015,,餐厅饭店,云贵菜,3010040
自助餐,3000061,,餐厅饭店,自助餐,3010037
赣菜,3000021,,餐厅饭店,江西菜,3010044
本帮江浙菜,3000020,,餐厅饭店,江浙菜,3010017
闽菜,3000005,,餐厅饭店,福建菜,3010004
苏北菜,3000023,,,,
龙虾,3000055,,,,
小龙虾,3000044,,,,
海鲜,3000040,,,,
江河湖海鲜,3000045,,,,
牛扒,3000034,,,,
烧烤,3000046,,,,
粥粉面,3000052,,,,
农家菜,3000047,,餐厅饭店,农家菜,3019001
,,,,,
,,,,,
,,,,,
,,,,,
创意菜,3000048,,餐厅饭店,创意菜,3019002
家常菜,3000049,,餐厅饭店,家常菜,3019003
特色菜,3000050,,餐厅饭店,特色菜,3019004
私房菜,3000051,,餐厅饭店,私房菜,3019005
 人气餐厅,3000063,,档次标签 人群热度,热门人气,10305
小吃面食,3000043,,快餐/小吃,小吃面食,3020001
茶馆,3000066,,茶艺,茶馆,3070001
百货商场/购物中心,4010000,,商场,百货商场,4010001
普通商场,4010001,,,,
家具建材,4010002,,,,
家具,4010003,,,,
建材五金,4010004,,,,
厨卫,4010005,,,,
布艺,4010006,,,,
灯具瓷器,4010007,,,,
居家日用,4010008,,,,
数码电子,4010009,,,,
家电电子,4010010,,,,
手机,4010011,,,,
音像,4010012,,,,
果品蔬菜,4010013,,,,
农副产品,4010014,,,,
交通工具,4010015,,,,
水产海鲜,4010016,,,,
图书文具,4010017,,,,
网点,6010000,,金融,网点,7010001
ATM,6010001,,金融,ATM,7010002
保龄球,7010000,,运动,保龄球,7010003
网球,7010001,,运动,网球,7010004
篮球,7010002,,运动,篮球,7010005
足球,7010003,,运动,足球,7010006
羽毛球,7010004,,运动,羽毛球,7010007
乒乓球,7010006,,运动,乒乓球,7010008
台球,7010014,,运动,台球,7010009
壁球,7010013,,运动,壁球,7010010
溜冰,7010015,,运动,溜冰,7010011
滑雪,7010016,,运动,滑雪,7010012
射箭,7010019,,运动,射箭,7010013
马术,7010027,,运动,马术,7010014
排球,7010005,,,,
曲棍球,7010007,,,,
垒球,7010008,,,,
棒球,7010009,,,,
门球,7010010,,,,
手球,7010011,,,,
橄榄球,7010012,,,,
射击,7010017,,,,
棋院,7010018,,,,
摔跤,7010020,,,,
击剑,7010021,,,,
拳击,7010022,,,,
空手道,7010023,,,,
武术,7010024,,,,
柔道,7010025,,,,
跆拳道,7010026,,,,
赛马,7010028,,,,
户外运动,7010029,,,,
自行车,7010030,,,,
,,,,,
高尔夫,7010031,,高尔夫,高尔夫场,7020001
